#element,sp_num,g,Level(eV),Uncertainty(eV)
Cu,1,6,7.68859500,1.00000000E-05
Cu,1,2,7.69026000,4.00000000E-05
Cu,1,6,7.69228200,1.00000000E-05
Cu,1,2,7.69372000,4.00000000E-05
Cu,1,6,7.69545200,1.00000000E-05
Cu,1,2,7.69668500,2.00000000E-05
Cu,1,6,7.69820000,1.00000000E-05
Cu,1,2,7.69928000,4.00000000E-05
Cu,1,6,7.70060000,1.00000000E-05
Cu,1,2,7.70157100,1.00000000E-05
Cu,1,6,7.70270400,1.00000000E-05
Cu,1,2,7.70352000,4.00000000E-05
Cu,1,6,7.70455700,1.00000000E-05
Cu,1,2,7.70529900,1.00000000E-05
Cu,1,6,7.70620900,1.00000000E-05
Cu,1,2,7.70685200,1.00000000E-05
Cu,1,6,7.70768000,1.00000000E-05
Cu,1,2,7.70827000,1.00000000E-05
Cu,1,6,7.70899300,1.00000000E-05
Cu,1,2,7.70952100,1.00000000E-05
Cu,1,6,7.71017200,1.00000000E-05
Cu,1,2,7.71064700,1.00000000E-05
Cu,1,6,7.71124200,1.00000000E-05
Cu,1,2,7.71166000,1.00000000E-05
Cu,1,6,7.71220600,1.00000000E-05
Cu,1,2,7.71259500,1.00000000E-05
Cu,1,6,7.71307900,1.00000000E-05
Cu,1,2,7.71342000,4.00000000E-05
Cu,1,6,7.71386700,1.00000000E-05
Cu,1,2,7.71420000,4.00000000E-05
Cu,1,6,7.71458600,1.00000000E-05
Cu,1,2,7.71485000,4.00000000E-05
Cu,1,6,7.71525400,1.00000000E-05
Cu,1,2,7.71551000,4.00000000E-05
Cu,1,6,7.71586800,1.00000000E-05
Cu,1,2,7.71609000,4.00000000E-05
Cu,1,6,7.71642900,1.00000000E-05
Cu,1,2,7.71662000,4.00000000E-05
Cu,1,6,7.71694400,1.00000000E-05
Cu,1,2,7.71712000,4.00000000E-05
Cu,1,6,7.71742400,1.00000000E-05
Cu,1,6,7.71786600,1.00000000E-05
Cu,1,6,7.71827400,1.00000000E-05
Cu,1,6,7.71865400,1.00000000E-05
Cu,1,6,7.71901400,1.00000000E-05
Cu,1,6,7.71934500,1.00000000E-05
Cu,1,6,7.71965400,1.00000000E-05
Cu,1,6,7.71994700,1.00000000E-05
Cu,1,6,7.72021100,1.00000000E-05
Cu,1,6,7.72047100,1.00000000E-05
Cu,1,6,7.72071500,1.00000000E-05
Cu,1,6,7.72093000,4.00000000E-05
Cu,1,6,7.72114000,4.00000000E-05
