# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,506.06415,4.1e+05,C,8.53634465,10.9856318,1,3,,
Cu,2,506.545861,1.61e+08,C+,14.69012064,17.13707861,7,9,,
Cu,2,506.709423,1.23e+08,C+,14.69608333,17.14225144,5,7,,
Cu,2,508.84896,4.8e+07,D+,14.69012064,17.12600360,7,7,,
Cu,2,508.89421,5.2e+07,D+,14.69608333,17.13174967,5,5,,
Cu,2,509.381536,4.9e+07,D+,14.43024652,16.86358269,5,5,,
Cu,2,510.09762,1.6e+07,D+,14.69608333,17.12600360,5,7,,
Cu,1,510.5548,2.0e+06,C+,1.388948,3.8166920,6,4,,
Cu,2,512.075319,2.0e+07,D+,14.43024652,16.85078224,5,5,,
Cu,1,515.3238,6.0e+07,C+,3.7858977,6.1911751,2,4,,
Cu,2,515.80916,2.4e+07,D+,14.45365331,16.85666744,1,3,,
Cu,2,518.33664,2.4e+07,D+,14.45365331,16.84495017,1,3,,
Cu,1,521.8202,7.5e+07,C+,3.8166920,6.1920252,4,6,,
Cu,1,522.0070,1.50e+07,C+,3.8166920,6.1911751,4,4,,
Cu,1,529.2524,1.09e+07,C+,5.395050,7.737027,8,8,,
Cu,2,532.79842,1.1e+07,D+,16.85329783,19.1796883,13,15,,
Cu,2,532.88109,1.1e+07,D+,16.85365501,19.1796846,11,13,,
Cu,2,532.8963,9.e+06,D+,17.1101772,19.4361404,5,7,,
Cu,2,534.5160,1.1e+07,D+,17.1177912,19.4367063,11,13,,
Cu,2,534.7809,1.1e+07,D+,17.1189425,19.4367089,9,11,,
Cu,2,535.51870,7.4e+06,D+,16.86623170,19.1808049,7,9,,
Cu,2,536.1907,9.e+06,D+,17.12600360,19.4376760,7,9,,
Cu,2,537.5276,8.1e+06,D+,17.13174967,19.4376729,5,7,,
Cu,2,538.19485,8.2e+06,D+,16.87831334,19.1813776,9,11,,
Cu,2,538.6435,1.0e+07,D+,17.13707861,19.4382247,9,11,,
Cu,2,539.8573,9.e+06,D+,17.14225144,19.4382237,7,9,,
Cu,2,542.23947,7.2e+06,D+,16.89532667,19.1812124,9,11,,
